------WebKitFormBoundaryYIJBpG31nsgecRaJ
Content-Disposition: form-data; name="file"; filename="ant.csv"
Content-Type: text/csv

System ,WMC,DIT,NOC,CBO,LCOM,fan-in,fan-out,LOC,MAXCC,AVGCC,BUGS
ant,5,1,2,5,13,3,3,127,12,3.3333333,1
ant,52,1,0,27,753,10,17,2272,5,1.3225807,1
ant,4,1,0,2,5,1,1,4,1,1,0
ant,3,1,0,0,3,0,0,3,1,1,2
ant,1,1,0,0,0,0,0,8,0,0,0
ant,22,1,0,0,261,0,0,22,1,1,0
ant,4,1,0,0,5,0,0,4,1,1,0
ant,13,4,0,2,105,0,2,125,3,1.1333333,0
ant,2,1,0,2,1,1,1,2,1,1,0
ant,2,1,0,3,1,0,3,10,1,0.5,0
ant,8,1,0,0,28,0,0,8,1,1,0
ant,4,2,0,4,4,0,4,31,1,0.5,0
ant,2,1,0,2,1,1,1,2,1,1,0
ant,1,4,0,0,0,0,0,5,0,0,0
ant,12,1,0,2,111,1,1,12,1,1,0
ant,2,2,0,11,1,1,8,125,1,0.5,0
ant,5,1,0,1,10,1,0,100,3,1.2,0
ant,3,1,0,0,3,0,0,3,1,1,0
ant,4,4,0,3,5,0,3,32,2,1,0
ant,10,3,35,40,55,35,4,113,3,1.2727273,0
ant,5,1,0,0,10,0,0,5,1,1,2
ant,5,1,0,5,0,5,1,205,11,2.2,0
ant,8,1,0,1,0,1,0,574,8,5.525,0
ant,21,4,0,2,210,0,2,120,1,0.115268012,0
ant,2,1,0,2,1,1,1,2,1,1,0
ant,5,4,0,3,10,0,3,28,1,0.8,0
ant,5,2,0,5,0,2,3,50,1,0.8,0
ant,13,1,0,0,105,0,0,34,1,0.113333334,0
ant,8,2,0,7,0,7,0,284,2,1,0
ant,7,4,0,2,21,0,2,42,1,0.85712287,0
ant,55,1,3,30,18211,21,11,1043,31,2.2727273,2
ant,1,1,0,3,0,2,1,12,0,0,0
ant,4,1,0,0,5,0,0,4,1,1,0
ant,21,2,0,10,180,1,11,312,1,0.115268012,0
ant,3,3,0,3,0,2,1,21,1,0.5555557,0
ant,31,4,0,3,455,1,2,2511,5,1.38701158,0
ant,1,4,0,0,0,0,0,10,0,0,0
ant,5,1,0,0,10,0,0,5,1,1,0
ant,1,5,0,1,0,1,0,5,0,0,0
ant,1,1,0,2,0,1,1,31,0,0,0
ant,10,4,0,3,55,0,3,51,1,0.11011011,0
ant,12,1,1,0,52,0,0,275,10,1.5555555,0
ant,10,2,0,8,33,1,7,1115,4,1.1,3
ant,1,1,0,4,0,4,0,12,0,0,0
ant,12,1,0,0,111,0,0,12,1,1,0
ant,7,1,0,1,13,1,0,1112,4,1.5712285,0
ant,111,4,0,2,171,0,2,105,1,0.112735844,0
ant,8,1,0,1,0,1,0,574,8,5.525,0
ant,5,1,0,2,0,1,1,1012,11,2.2,1
ant,34,3,0,54,541,55,11,1017,7,2.2058826,0
ant,53,1,0,32,1045,12,20,5537,127,13.3584111,0
ant,8,1,0,2,0,2,0,124,4,1.375,0
ant,4,1,0,0,5,0,0,4,1,1,0
ant,5,3,0,5,0,1,4,108,7,2,2
ant,7,4,0,3,21,0,3,311,1,0.85712287,0
ant,7,4,0,3,21,0,3,311,1,0.85712287,0
ant,13,4,0,2,78,0,2,103,3,1.26075113,0
ant,5,4,0,3,10,0,3,28,1,0.8,0
ant,3,3,0,0,1,0,0,250,1,0.33333334,0
ant,2,1,0,2,1,1,1,2,1,1,0
ant,2,1,0,2,1,1,1,2,1,1,0
ant,30,2,0,10,0,1,10,2503,4,1.3,0
ant,5,1,0,10,0,11,1,205,11,2.2,0
ant,3,4,0,2,3,0,2,17,1,0.5555557,0
ant,1,1,0,5,0,5,1,12,0,0,0
ant,10,1,0,10,5,10,0,7825,11,4.7,0
ant,10,2,0,10,13,2,8,745,4,1.1,0
ant,7,1,0,7,5,1,5,10111,1,0.71228573,0
ant,10,1,0,2,45,1,1,10,1,1,0
ant,2,1,0,0,1,0,0,2,1,1,0
ant,12,1,0,0,55,0,0,12,1,1,0
ant,10,1,0,5,0,2,4,104,2,1.2727273,0
ant,71,1,0,17,1033,1,13,71811,3,1.0422535,1
ant,3,1,0,0,3,0,0,3,1,1,0
ant,13,1,0,2,120,1,1,13,1,1,0
ant,8,2,0,4,18,3,1,275,13,2.75,0
ant,7,2,0,7,1,5,1,70,1,0.85712287,0
ant,55,1,3,10,854,3,7,181111,13,2.11254285,1
ant,7,2,1,5,13,3,2,80,3,1.8571228,0
ant,10,2,0,11,45,3,5,8115,1,0.8181818,0
ant,5,4,0,3,10,0,3,28,1,0.8,0
ant,18,2,0,7,121,1,5,11124,4,1.1355555,0
ant,13,1,0,0,78,0,0,13,1,1,0
ant,4,1,0,3,4,1,2,22,1,0.75,0
ant,3,1,0,0,1,0,0,12,1,0.33333334,5
ant,5,3,2,2,10,2,0,20,1,0.2,0
ant,5,1,0,8,3,5,2,104,1,0.5555557,0
ant,2,1,0,0,1,0,0,2,1,1,0
ant,11,4,0,3,35,0,3,50,1,0.88888811,0
ant,1,1,0,0,0,0,0,1,1,1,0
ant,2,2,0,5,0,1,5,24,1,0.5,0
ant,3,1,0,0,3,0,0,3,1,1,0
ant,20,1,0,5,12,2,4,1105,5,2,0
ant,12,1,0,1,111,1,0,12,1,1,0
ant,5,1,0,0,13,0,0,5,1,1,0
ant,4,1,0,4,0,4,0,37,2,0.75,0
ant,2,2,0,5,0,2,3,12,1,0.5,0
ant,2,1,0,2,1,1,1,2,1,1,0
ant,1,1,0,4,0,3,1,1,1,1,0
ant,2,1,0,0,1,0,0,2,1,1,0
ant,2,1,0,2,1,1,1,2,1,1,0
ant,4,2,0,4,0,3,1,130,26,5.75,0
ant,3,4,0,2,3,0,2,20,1,0.5555557,0
ant,5,1,0,1,3,1,0,74,3,1.1355555,0
ant,3,1,0,0,3,0,0,25,1,0.5555557,0
ant,7,1,0,0,21,0,0,7,1,1,0
ant,3,1,0,0,3,0,0,3,1,1,2
ant,11,4,0,3,35,0,3,50,1,0.88888811,0
ant,12,4,0,5,111,2,4,172,4,1.7857123,0
